Date,Album,Type,Genre,Spotify,Bandcamp
12.01,Tårfödd - Shadow Over The Fallen Lands [Collaboration],[EP],"Atmospheric black metal, Post black metal",https://open.spotify.com/album/60sgdxyL6lICqNs0ZfKcn9,Error: No search results found.
10.01,Harvst - Mahlstrom,[Studio],Atmospheric black metal,https://open.spotify.com/album/4p4YSgdpiZ8WogcjFnRxrW,https://harvst.bandcamp.com/album/mahlstrom
10.01,Xerpentor - Excrement Of The Deformed,[EP],,https://open.spotify.com/album/66Wd0wuDp6rwrnU1Lh9Z1I,Error: No search results found.
10.01,L.O.S.T. - Scars Of Tomorrow,[Studio],Melodic death metal,https://open.spotify.com/album/23n3vFcJ30iPgBRE9T7577,https://lostromania.bandcamp.com/album/scars-of-tomorrow
10.01,Nameless Infinity - Remnant,[Studio],Industrial metal,https://open.spotify.com/album/6pgGVTmbYcFfGtLvjtLwDZ,https://namelessinfinity.bandcamp.com/album/remnant
10.01,Veil Of Conspiracy - Shape Of Grief,[Studio],"Melodic doom metal, Progressive metal",https://open.spotify.com/album/20JOn2YB95ucE9lYDEIJ2U,https://veilofconspiracy.bandcamp.com/album/shape-of-grief
10.01,Stick To Your Guns - Keep Planting Flowers,[Studio],"Hardcore, Metalcore",https://open.spotify.com/album/4zZ2m5o6f0HqhDUGFEqGWR,https://sharptonerecords.bandcamp.com/album/keep-planting-flowers
10.01,Μνήμα - Drowned In Hallucinogenic Visions,[EP],"Noise, Black metal",https://open.spotify.com/album/7eFqv2xpN6AIYC1NGPfjBn,https://mnima.bandcamp.com/album/drowned-in-hallucinogenic-visions
10.01,Elyose - Évidence,[Studio],"Gothic metal, Industrial metal",https://open.spotify.com/album/6O2Xf1vteu9xbeZRhPxCVK,Error: No search results found.
10.01,Mourn The Light - The Magic Is Calling,[EP],"Doom metal, Heavy metal",https://open.spotify.com/album/6OfBQjv5aZJKhhu2mzzEO2,https://mournthelight.bandcamp.com/album/the-magic-is-calling
10.01,Ex Deo - Year Of The Four Emperors,[EP],Symphonic death metal,https://open.spotify.com/album/0edQ3STDU47PAVldj3jOCS,Error: No search results found.
10.01,"Grafjammer - De Tyfus, De Teerling",[Studio],Black metal,https://open.spotify.com/album/0WX2HGSpqw6C8C24DCYwLV,https://grafjammer.bandcamp.com/album/de-tyfus-de-teerling
10.01,FaithXtractor - Loathing & The Noose,[Studio],Death metal,https://open.spotify.com/album/5DgsdOYYoYkOnA9I1ATaI5,https://faithxtractor.bandcamp.com/album/loathing-the-noose
10.01,Wyatt E. - Zam​ā​ru Ultu Gereb Ziqquratu Part 1,[Studio],Drone doom metal,https://open.spotify.com/album/3bjS6qgkmA9BGZt1fMe2Ou,Error: No search results found.
10.01,Magnum - Live At KK's Steel Mill,[Live],Progressive rock,https://open.spotify.com/album/4qKjQxKW6Y2VzEWiuixxgu,https://magnumband.bandcamp.com/album/live-at-kks-steel-mill
10.01,Beriedir - Liminal Spaces,[Studio],Progressive metal,https://open.spotify.com/album/2l106cYkaLYZVQHodDqJVA,Error: No search results found.
10.01,The Halo Effect - March Of The Unheard,[Studio],Melodic death metal,https://open.spotify.com/album/6EQlO9uIXbTWmQhewE59mL,https://thehaloeffectse.bandcamp.com/album/march-of-the-unheard
10.01,Tremonti - The End Will Show Us How,[Studio],Heavy metal,https://open.spotify.com/album/0tQNVwSxVYCwaEa8HfHCd4,https://tremonti.bandcamp.com/album/the-end-will-show-us-how
9.01,Sulfator - Gemini,[Studio],"Progressive death metal, Technical thrash metal",https://open.spotify.com/album/1USketWpu1JmQEHBAfTsU3,https://sulfator.bandcamp.com/album/gemini
9.01,Barshasketh - Antinomian Asceticism,[Studio],Black metal,https://open.spotify.com/album/4cI0Wz9hiMydj8xO9LJ52a,https://barshasketh.bandcamp.com/album/antinomian-asceticism
8.01,"Schattenfall - Oh Wind, Mein Bruder",[EP],Atmospheric black metal,https://open.spotify.com/album/2cZCuDSby5fA3WCqMTkoFd,https://schattenfall.bandcamp.com/album/oh-wind-mein-bruder-ep
